task_id,tier,genre,page,ylt.DOMelementsCount,ylt.DOMelementMaxDepth,ylt.iframesCount,ylt.cssRules,ylt.cssSelectors,ylt.cssDeclarations,ylt.cssComplexSelectors,ylt.cssSpecificityIdAvg,ylt.cssDuplicatedSelectors,ylt.cssImportants,ylt.cssEmptyRules,ylt.cssColors,ylt.nodesWithInlineCSS,svg_path_count,gradient_count,html_bytes,css_bytes,jpeg_proxy_bytes_per_kpixel,edge_density
synth-t1-ink-and-insomnia-blog-fea9,1,personal-blog,about,26.0000,6.0000,0.0000,18.0000,21.0000,49.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,3818.0000,1563.0000,72.2329,0.0322
synth-t1-ink-and-insomnia-blog-fea9,1,personal-blog,contact,24.0000,6.0000,0.0000,18.0000,19.0000,48.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,3090.0000,1459.0000,56.4529,0.0237
synth-t1-ink-and-insomnia-blog-fea9,1,personal-blog,essays,56.0000,5.0000,0.0000,20.0000,21.0000,59.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,4974.0000,1870.0000,57.1771,0.0235
synth-t1-ink-and-insomnia-blog-fea9,1,personal-blog,journal,65.0000,6.0000,0.0000,24.0000,25.0000,59.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1.0000,0.0000,0.0000,6613.0000,1989.0000,69.5128,0.0342
synth-t1-ink-and-insomnia-blog-fea9,1,personal-blog,reading-list,69.0000,6.0000,0.0000,20.0000,21.0000,61.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5268.0000,1983.0000,49.1494,0.0197
synth-t2-ironclad-futures-summit-6724,2,conference,about,128.0000,8.0000,0.0000,62.0000,69.0000,215.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000,0.0000,13757.0000,6682.0000,80.8188,0.0382
synth-t2-ironclad-futures-summit-6724,2,conference,program,193.0000,6.0000,0.0000,54.0000,58.0000,184.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,0.0000,16734.0000,5616.0000,81.9498,0.0405
synth-t2-ironclad-futures-summit-6724,2,conference,register,91.0000,6.0000,0.0000,53.0000,55.0000,204.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0000,0.0000,0.0000,0.0000,10739.0000,6120.0000,56.9271,0.0245
synth-t2-ironclad-futures-summit-6724,2,conference,speakers,114.0000,6.0000,0.0000,41.0000,46.0000,154.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,11918.0000,4750.0000,77.5459,0.0377
synth-t2-ironclad-futures-summit-6724,2,conference,venue,104.0000,6.0000,0.0000,50.0000,55.0000,172.0000,1.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,2.0000,10171.0000,5450.0000,63.9605,0.0261
